Date,Open,High,Low,Close,Volume
2024-04-01,113.77,115.37,112.63,114.0,1000000
2024-04-02,112.18,113.75,111.05,112.4,1000000
2024-04-03,110.58,112.13,109.47,110.8,1000000
2024-04-04,108.98,110.51,107.89,109.2,1000000
2024-04-05,107.38,108.89,106.31,107.6,1000000
2024-04-08,105.79,107.27,104.73,106.0,1000000
2024-04-09,104.19,105.65,103.15,104.4,1000000
2024-04-10,102.59,104.03,101.57,102.8,1000000
2024-04-11,101.0,102.41,99.99,101.2,1000000
2024-04-12,99.4,100.8,98.4,99.6,1000000
2024-04-15,97.64,99.01,96.67,97.84,1000000
2024-04-16,98.94,100.33,97.95,99.14,1000000
2024-04-17,100.21,101.61,99.21,100.41,1000000
2024-04-18,101.42,102.84,100.4,101.62,1000000
2024-04-19,102.51,103.95,101.49,102.72,1000000
2024-04-22,103.49,104.94,102.46,103.7,1000000
2024-04-23,104.34,105.8,103.3,104.55,1000000
2024-04-24,105.06,106.53,104.01,105.27,1000000
2024-04-25,105.68,107.16,104.62,105.89,1000000
2024-04-26,106.22,107.71,105.15,106.43,1000000
2024-04-29,106.72,108.21,105.65,106.93,1000000
2024-04-30,107.23,108.73,106.15,107.44,1000000
2024-05-01,107.78,109.3,106.7,108.0,1000000
2024-05-02,108.43,109.95,107.35,108.65,1000000
2024-05-03,109.2,110.73,108.11,109.42,1000000
2024-05-06,110.09,111.63,108.99,110.31,1000000
2024-05-07,111.12,112.68,110.0,111.34,1000000
2024-05-08,112.26,113.83,111.13,112.48,1000000
2024-05-09,113.49,115.08,112.36,113.72,1000000
2024-05-10,114.77,116.38,113.62,115.0,1000000
2024-05-13,116.07,117.7,114.9,116.3,1000000
2024-05-14,117.32,118.97,116.15,117.56,1000000
2024-05-15,118.51,120.17,117.33,118.75,1000000
2024-05-16,119.6,121.28,118.4,119.84,1000000
2024-05-17,120.56,122.25,119.35,120.8,1000000
2024-05-20,121.39,123.09,120.17,121.63,1000000
2024-05-21,122.09,123.8,120.86,122.33,1000000
2024-05-22,122.68,124.41,121.45,122.93,1000000
2024-05-23,123.22,124.95,121.99,123.47,1000000
2024-05-24,123.72,125.46,122.48,123.97,1000000
2024-05-27,124.24,125.98,123.0,124.49,1000000
2024-05-28,124.81,126.56,123.56,125.06,1000000
2024-05-29,125.48,127.24,124.22,125.73,1000000
2024-05-30,126.26,128.03,124.99,126.51,1000000
2024-05-31,127.18,128.96,125.9,127.43,1000000
2024-06-03,128.21,130.01,126.93,128.47,1000000
2024-06-04,129.37,131.19,128.07,129.63,1000000
2024-06-05,130.61,132.44,129.3,130.87,1000000
2024-06-06,131.9,133.75,130.57,132.16,1000000
2024-06-07,133.19,135.06,131.86,133.46,1000000
2024-06-10,134.44,136.33,133.09,134.71,1000000
2024-06-11,135.62,137.52,134.26,135.89,1000000
2024-06-12,136.69,138.6,135.32,136.96,1000000
2024-06-13,137.62,139.55,136.25,137.9,1000000
2024-06-14,138.43,140.37,137.05,138.71,1000000
